country,year,butter_prod_1000t
Albania,2014,0.68
Albania,2015,0.94
Albania,2016,0.82
Albania,2017,0.88
Albania,2018,0.91
Albania,2019,0.86
Albania,2020,0.81
Albania,2021,0.78
Albania,2022,0.78
Albania,2023,0.61
Albania,2024,0.66
Austria,2013,33.58
Austria,2014,32.78
Austria,2015,33.27
Austria,2016,33.86
Austria,2017,36.05
Austria,2018,36.35
Austria,2019,35.86
Austria,2020,37.91
Austria,2021,36.17
Austria,2022,33.89
Austria,2023,33.82
Austria,2024,32.16
Belgium,2013,36.31
Belgium,2014,44.59
Belgium,2015,48.96
Belgium,2016,58.17
Belgium,2017,65.02
Belgium,2018,64.68
Belgium,2019,112.35
Belgium,2020,122.83
Belgium,2021,109.73
Belgium,2022,107.89
Belgium,2023,119.86
Belgium,2024,128.26
Bulgaria,2013,1.11
Bulgaria,2014,1.0
Bulgaria,2015,0.97
Bulgaria,2016,0.89
Bulgaria,2017,1.06
Bulgaria,2018,1.07
Bulgaria,2019,1.09
Bulgaria,2020,1.03
Bulgaria,2021,1.26
Bulgaria,2022,1.34
Bulgaria,2023,0.95
Bulgaria,2024,0.98
Switzerland,2013,46.53
Switzerland,2014,48.34
Switzerland,2015,47.55
Switzerland,2016,48.32
Switzerland,2017,43.81
Switzerland,2018,44.03
Switzerland,2019,42.5
Switzerland,2020,42.54
Switzerland,2021,39.59
Switzerland,2022,37.33
Switzerland,2023,45.51
Switzerland,2024,45.64
Cyprus,2013,0.01
Cyprus,2014,0.02
Cyprus,2015,0.03
Cyprus,2016,0.03
Cyprus,2017,0.03
Cyprus,2018,0.07
Cyprus,2019,0.04
Cyprus,2020,0.04
Cyprus,2021,0.04
Cyprus,2022,0.04
Cyprus,2023,0.05
Cyprus,2024,0.05
Czechia,2013,29.49
Czechia,2014,26.98
Czechia,2015,29.43
Czechia,2016,28.13
Czechia,2017,26.05
Czechia,2018,24.61
Czechia,2019,27.42
Czechia,2020,27.98
Czechia,2021,27.96
Czechia,2022,26.36
Czechia,2023,25.78
Czechia,2024,27.34
Germany,2013,473.1
Germany,2014,482.42
Germany,2015,509.49
Germany,2016,506.93
Germany,2017,488.11
Germany,2018,474.88
Germany,2019,490.65
Germany,2020,497.3
Germany,2021,461.68
Germany,2022,459.18
Germany,2023,468.88
Germany,2024,477.45
Denmark,2013,135.2
Denmark,2014,134.3
Denmark,2015,93.07
Denmark,2016,158.5
Denmark,2017,159.8
Denmark,2018,183.0
Denmark,2019,188.8
Denmark,2020,198.83
Denmark,2021,159.4
Denmark,2022,172.4
Denmark,2023,178.7
Denmark,2024,172.8
Estonia,2013,3.51
Estonia,2014,4.54
Estonia,2015,5.1
Estonia,2016,5.14
Estonia,2017,4.34
Estonia,2018,4.89
Estonia,2019,5.12
Estonia,2020,5.27
Estonia,2021,4.09
Estonia,2022,4.83
Estonia,2023,4.6
Estonia,2024,3.66
Greece,2013,
Greece,2014,0.0
Greece,2015,1.2
Greece,2016,1.3
Greece,2017,1.5
Greece,2018,2.1
Greece,2019,2.29
Greece,2020,2.58
Greece,2021,2.7
Greece,2022,2.4
Greece,2023,2.16
Greece,2024,2.56
Spain,2013,35.5
Spain,2014,39.76
Spain,2015,42.52
Spain,2016,45.25
Spain,2017,51.19
Spain,2018,50.99
Spain,2019,48.65
Spain,2020,49.81
Spain,2021,52.25
Spain,2022,47.28
Spain,2023,46.68
Spain,2024,47.02
European Union - 27 countries (from 2020),2014,
European Union - 27 countries (from 2020),2015,
European Union - 27 countries (from 2020),2016,
European Union - 27 countries (from 2020),2017,
European Union - 27 countries (from 2020),2018,
European Union - 27 countries (from 2020),2019,
European Union - 27 countries (from 2020),2020,
European Union - 27 countries (from 2020),2021,
European Union - 27 countries (from 2020),2022,
European Union - 27 countries (from 2020),2023,
European Union - 27 countries (from 2020),2024,
Finland,2013,53.14
Finland,2014,57.45
Finland,2015,63.22
Finland,2016,64.16
Finland,2017,61.78
Finland,2018,59.91
Finland,2019,60.99
Finland,2020,62.68
Finland,2021,58.76
Finland,2022,57.03
Finland,2023,57.88
Finland,2024,58.07
France,2013,400.98
France,2014,444.13
France,2015,444.01
France,2016,434.23
France,2017,412.72
France,2018,417.41
France,2019,419.22
France,2020,417.54
France,2021,410.18
France,2022,412.73
France,2023,403.97
France,2024,398.08
Croatia,2013,4.87
Croatia,2014,
Croatia,2015,3.84
Croatia,2016,3.94
Croatia,2017,4.58
Croatia,2018,3.72
Croatia,2019,4.44
Croatia,2020,3.55
Croatia,2021,5.2
Croatia,2022,4.82
Croatia,2023,3.9
Croatia,2024,4.68
Hungary,2013,9.41
Hungary,2014,9.74
Hungary,2015,5.99
Hungary,2016,8.24
Hungary,2017,9.0
Hungary,2018,9.37
Hungary,2019,8.63
Hungary,2020,9.19
Hungary,2021,9.22
Hungary,2022,9.26
Hungary,2023,8.44
Hungary,2024,9.15
Ireland,2013,201.78
Ireland,2014,222.9
Ireland,2015,
Ireland,2016,229.8
Ireland,2017,257.5
Ireland,2018,270.3
Ireland,2019,284.6
Ireland,2020,293.9
Ireland,2021,305.9
Ireland,2022,299.4
Ireland,2023,299.3
Ireland,2024,
Italy,2013,98.36
Italy,2014,100.51
Italy,2015,95.91
Italy,2016,95.4
Italy,2017,91.22
Italy,2018,97.48
Italy,2019,94.03
Italy,2020,92.25
Italy,2021,94.15
Italy,2022,94.46
Italy,2023,94.4
Italy,2024,95.37
Lithuania,2013,13.13
Lithuania,2014,17.47
Lithuania,2015,14.88
Lithuania,2016,17.67
Lithuania,2017,14.95
Lithuania,2018,14.18
Lithuania,2019,14.32
Lithuania,2020,15.18
Lithuania,2021,10.73
Lithuania,2022,11.11
Lithuania,2023,13.99
Lithuania,2024,12.21
Luxembourg,2013,
Luxembourg,2014,
Luxembourg,2015,
Luxembourg,2016,
Luxembourg,2017,
Luxembourg,2018,
Luxembourg,2019,
Luxembourg,2020,
Luxembourg,2021,
Luxembourg,2022,
Luxembourg,2023,
Luxembourg,2024,
Latvia,2014,7.53
Latvia,2015,6.91
Latvia,2016,7.2
Latvia,2017,4.65
Latvia,2018,3.21
Latvia,2019,3.26
Latvia,2020,3.36
Latvia,2021,3.1
Latvia,2022,2.59
Latvia,2023,3.23
Latvia,2024,3.14
Montenegro,2013,0.0
Montenegro,2014,0.01
Montenegro,2015,0.01
Montenegro,2016,0.0
Montenegro,2017,0.0
Montenegro,2018,0.0
Montenegro,2019,0.14
North Macedonia,2018,0.32
North Macedonia,2019,0.53
Malta,2013,
Malta,2014,
Malta,2015,0.0
Malta,2016,0.0
Malta,2017,0.0
Malta,2018,0.0
Malta,2019,0.0
Malta,2020,0.0
Malta,2021,0.0
Malta,2022,0.0
Malta,2023,0.0
Malta,2024,0.0
Netherlands,2013,199.19
Netherlands,2014,206.56
Netherlands,2015,236.0
Netherlands,2016,248.0
Netherlands,2017,248.0
Netherlands,2018,247.0
Netherlands,2019,229.53
Netherlands,2020,220.71
Netherlands,2021,217.69
Netherlands,2022,214.25
Netherlands,2023,206.7
Netherlands,2024,
Norway,2014,17.3
Norway,2015,19.4
Norway,2016,19.7
Norway,2017,18.4
Norway,2018,19.1
Norway,2019,20.0
Norway,2020,18.2
Norway,2021,21.9
Norway,2022,22.1
Norway,2023,19.5
Norway,2024,20.6
Poland,2013,161.03
Poland,2014,167.17
Poland,2015,187.82
Poland,2016,204.36
Poland,2017,213.72
Poland,2018,222.66
Poland,2019,224.45
Poland,2020,243.39
Poland,2021,232.17
Poland,2022,247.23
Poland,2023,264.95
Poland,2024,258.06
Portugal,2013,25.73
Portugal,2014,28.11
Portugal,2015,32.29
Portugal,2016,30.78
Portugal,2017,32.04
Portugal,2018,31.08
Portugal,2019,30.46
Portugal,2020,31.87
Portugal,2021,31.5
Portugal,2022,27.49
Portugal,2023,31.59
Portugal,2024,31.93
Romania,2013,9.8
Romania,2014,10.59
Romania,2015,11.2
Romania,2016,11.93
Romania,2017,12.11
Romania,2018,10.87
Romania,2019,8.86
Romania,2020,10.22
Romania,2021,9.48
Romania,2022,8.93
Romania,2023,9.33
Romania,2024,11.77
Serbia,2014,6.5
Serbia,2015,4.78
Serbia,2016,3.96
Serbia,2017,3.97
Serbia,2018,4.17
Serbia,2020,5.35
Serbia,2021,5.28
Serbia,2022,4.97
Serbia,2023,4.39
Serbia,2024,4.16
Sweden,2013,34.71
Sweden,2014,37.56
Sweden,2015,40.33
Sweden,2016,41.04
Sweden,2017,40.24
Sweden,2018,37.59
Sweden,2019,38.37
Sweden,2020,38.69
Sweden,2021,38.45
Sweden,2022,39.78
Sweden,2023,40.98
Sweden,2024,40.41
Slovenia,2013,2.29
Slovenia,2014,2.32
Slovenia,2015,2.26
Slovenia,2016,2.37
Slovenia,2017,2.74
Slovenia,2018,2.63
Slovenia,2019,2.54
Slovenia,2020,2.63
Slovenia,2021,
Slovenia,2022,
Slovenia,2023,
Slovenia,2024,
Slovakia,2013,9.08
Slovakia,2014,8.63
Slovakia,2015,8.93
Slovakia,2016,8.97
Slovakia,2017,
Slovakia,2018,10.12
Slovakia,2019,10.06
Slovakia,2020,11.08
Slovakia,2021,10.72
Slovakia,2022,10.75
Slovakia,2023,9.25
Slovakia,2024,9.92
Türkiye,2013,41.52
Türkiye,2014,45.8
Türkiye,2015,51.8
Türkiye,2016,57.6
Türkiye,2017,59.45
Türkiye,2018,65.9
Türkiye,2019,73.7
Türkiye,2020,78.6
Türkiye,2021,84.8
Türkiye,2022,95.66
Türkiye,2023,87.07
Türkiye,2024,102.62
United Kingdom,2013,142.33
United Kingdom,2014,143.26
United Kingdom,2015,144.51
United Kingdom,2016,143.08
United Kingdom,2017,161.15
United Kingdom,2018,152.49
United Kingdom,2019,188.07
