country,year,milk_prod_1000t
Austria,2015,3568.9
Austria,2016,3659.96
Austria,2017,3747.78
Austria,2018,3859.99
Austria,2019,3820.04
Austria,2020,3852.26
Austria,2021,3867.49
Austria,2022,3980.29
Austria,2023,3716.97
Austria,2024,4058.48
Belgium,2015,3826.0
Belgium,2016,3959.0
Belgium,2017,4094.0
Belgium,2018,4236.0
Belgium,2019,4337.0
Belgium,2020,4502.0
Belgium,2021,4481.0
Belgium,2022,4618.0
Belgium,2023,4684.37
Belgium,2024,4654.26
Bulgaria,2015,1152.6
Bulgaria,2016,1148.66
Bulgaria,2017,1091.47
Bulgaria,2018,1025.2
Bulgaria,2019,939.5
Bulgaria,2020,1005.45
Bulgaria,2021,953.07
Bulgaria,2022,868.6
Bulgaria,2023,815.77
Bulgaria,2024,793.89
Croatia,2015,707.0
Croatia,2016,689.0
Croatia,2017,668.0
Croatia,2018,634.0
Croatia,2019,615.0
Croatia,2020,612.0
Croatia,2021,570.0
Croatia,2022,535.0
Croatia,2023,479.0
Croatia,2024,477.0
Cyprus,2015,214.09
Cyprus,2016,237.65
Cyprus,2017,279.02
Cyprus,2018,294.64
Cyprus,2019,310.35
Cyprus,2020,347.41
Cyprus,2021,382.7
Cyprus,2022,366.23
Cyprus,2023,390.81
Cyprus,2024,414.14
Czechia,2015,3026.53
Czechia,2016,3065.27
Czechia,2017,3079.29
Czechia,2018,3161.64
Czechia,2019,3155.97
Czechia,2020,3268.14
Czechia,2021,3310.55
Czechia,2022,3339.81
Czechia,2023,3476.26
Czechia,2024,3554.81
Denmark,2015,5335.7
Denmark,2016,5435.7
Denmark,2017,5502.2
Denmark,2018,5615.2
Denmark,2019,5615.0
Denmark,2020,5666.0
Denmark,2021,5644.0
Denmark,2022,5664.0
Denmark,2023,5687.0
Denmark,2024,5690.0
Estonia,2015,783.2
Estonia,2016,783.2
Estonia,2017,790.6
Estonia,2018,797.6
Estonia,2019,821.5
Estonia,2020,849.0
Estonia,2021,839.4
Estonia,2022,848.6
Estonia,2023,894.7
Estonia,2024,941.0
European Union - 27 countries (from 2020),2015,152657.84
European Union - 27 countries (from 2020),2016,153894.72
European Union - 27 countries (from 2020),2017,155218.8
European Union - 27 countries (from 2020),2018,156739.0
European Union - 27 countries (from 2020),2019,158283.0
European Union - 27 countries (from 2020),2020,160281.96
European Union - 27 countries (from 2020),2021,159772.68
European Union - 27 countries (from 2020),2022,159996.09
European Union - 27 countries (from 2020),2023,160887.23
European Union - 27 countries (from 2020),2024,161798.04
European Union - 28 countries (2013-2020),2015,168114.84
European Union - 28 countries (2013-2020),2016,168832.72
European Union - 28 countries (2013-2020),2017,170661.8
European Union - 28 countries (2013-2020),2018,172227.6
European Union - 28 countries (2013-2020),2019,174013.61
Finland,2015,2436.76
Finland,2016,2429.59
Finland,2017,2405.76
Finland,2018,2397.88
Finland,2019,2374.36
Finland,2020,2406.52
Finland,2021,2314.85
Finland,2022,2258.63
Finland,2023,2239.0
Finland,2024,2209.22
France,2015,26712.84
France,2016,26065.89
France,2017,26006.31
France,2018,26022.5
France,2019,26036.29
France,2020,26288.53
France,2021,25829.08
France,2022,25681.54
France,2023,25050.5
France,2024,25244.57
Germany,2015,32684.57
Germany,2016,32687.64
Germany,2017,32614.17
Germany,2018,33109.66
Germany,2019,33102.57
Germany,2020,33188.89
Germany,2021,32531.56
Germany,2022,32421.62
Germany,2023,34033.75
Germany,2024,33792.59
Greece,2015,1915.0
Greece,2016,1897.0
Greece,2017,1807.0
Greece,2018,1844.9
Greece,2019,1959.44
Greece,2020,1990.33
Greece,2021,2027.73
Greece,2022,1999.43
Greece,2023,1962.5
Greece,2024,1935.6
Hungary,2015,1946.65
Hungary,2016,1923.8
Hungary,2017,1972.99
Hungary,2018,1953.76
Hungary,2019,1967.37
Hungary,2020,2019.0
Hungary,2021,2085.0
Hungary,2022,2044.9
Hungary,2023,2032.11
Hungary,2024,2098.01
Ireland,2015,6604.41
Ireland,2016,6871.94
Ireland,2017,7498.94
Ireland,2018,7831.25
Ireland,2019,8244.87
Ireland,2020,8561.47
Ireland,2021,9039.99
Ireland,2022,9108.28
Ireland,2023,8730.71
Ireland,2024,8697.2
Italy,2015,12191.94
Italy,2016,12669.59
Italy,2017,12983.23
Italy,2018,13131.64
Italy,2019,13300.1
Italy,2020,13509.51
Italy,2021,13997.97
Italy,2022,13971.68
Italy,2023,13842.19
Italy,2024,13973.39
Kosovo*,2017,365.09
Kosovo*,2018,334.31
Latvia,2015,978.1
Latvia,2016,986.2
Latvia,2017,1000.1
Latvia,2018,982.9
Latvia,2019,981.4
Latvia,2020,990.1
Latvia,2021,992.22
Latvia,2022,975.29
Latvia,2023,963.68
Latvia,2024,960.99
Lithuania,2015,1738.52
Lithuania,2016,1627.68
Lithuania,2017,1570.71
Lithuania,2018,1571.84
Lithuania,2019,1551.14
Lithuania,2020,1491.67
Lithuania,2021,1476.89
Lithuania,2022,1521.94
Lithuania,2023,1472.97
Lithuania,2024,1528.52
Luxembourg,2015,349.37
Luxembourg,2016,379.42
Luxembourg,2017,390.44
Luxembourg,2018,410.9
Luxembourg,2019,424.23
Luxembourg,2020,450.54
Luxembourg,2021,446.67
Luxembourg,2022,452.43
Luxembourg,2023,471.56
Luxembourg,2024,485.79
Malta,2015,44.21
Malta,2016,45.64
Malta,2017,41.88
Malta,2018,43.23
Malta,2019,44.12
Malta,2020,44.94
Malta,2021,42.32
Malta,2022,42.08
Malta,2023,40.39
Malta,2024,41.2
Montenegro,2015,183.09
Montenegro,2016,180.55
Montenegro,2017,181.4
Montenegro,2018,181.5
Montenegro,2019,178.0
Netherlands,2015,13783.85
Netherlands,2016,14825.0
Netherlands,2017,14822.0
Netherlands,2018,14426.0
Netherlands,2019,14944.0
Netherlands,2020,14932.0
Netherlands,2021,14607.88
Netherlands,2022,14983.9
Netherlands,2023,15117.05
Netherlands,2024,14815.69
North Macedonia,2016,477.35
North Macedonia,2017,462.22
North Macedonia,2018,478.47
North Macedonia,2019,456.14
North Macedonia,2020,461.14
North Macedonia,2021,389.21
North Macedonia,2022,387.97
North Macedonia,2023,291.73
Norway,2017,0.0
Norway,2018,707.5
Poland,2015,13252.89
Poland,2016,13251.56
Poland,2017,13702.38
Poland,2018,14179.21
Poland,2019,14511.49
Poland,2020,14830.87
Poland,2021,14890.27
Poland,2022,15218.08
Poland,2023,15491.89
Poland,2024,16049.76
Portugal,2015,2114.21
Portugal,2016,2020.65
Portugal,2017,2020.76
Portugal,2018,2040.29
Portugal,2019,2081.88
Portugal,2020,2099.13
Portugal,2021,2100.19
Portugal,2022,2030.94
Portugal,2023,2058.68
Portugal,2024,2048.14
Romania,2015,4676.6
Romania,2016,4585.7
Romania,2017,4439.2
Romania,2018,4443.3
Romania,2019,4339.6
Romania,2020,4362.5
Romania,2021,4299.7
Romania,2022,4261.9
Romania,2023,4318.4
Romania,2024,4406.1
Serbia,2015,1610.82
Serbia,2016,1603.74
Serbia,2017,1599.26
Serbia,2018,1590.01
Serbia,2019,1597.04
Serbia,2020,1583.74
Serbia,2021,1563.48
Serbia,2022,1512.11
Serbia,2023,1416.79
Serbia,2024,1378.92
Slovakia,2015,941.86
Slovakia,2016,916.88
Slovakia,2017,923.4
Slovakia,2018,917.0
Slovakia,2019,915.7
Slovakia,2020,929.54
Slovakia,2021,914.41
Slovakia,2022,926.98
Slovakia,2023,926.06
Slovakia,2024,929.23
Slovenia,2015,633.82
Slovenia,2016,651.4
Slovenia,2017,649.96
Slovenia,2018,631.22
Slovenia,2019,625.64
Slovenia,2020,633.2
Slovenia,2021,642.94
Slovenia,2022,628.11
Slovenia,2023,607.76
Slovenia,2024,611.34
Spain,2015,8105.07
Spain,2016,8218.49
Spain,2017,8300.55
Spain,2018,8417.53
Spain,2019,8559.68
Spain,2020,8686.22
Spain,2021,8702.59
Spain,2022,8483.0
Spain,2023,8564.62
Spain,2024,8587.23
Sweden,2015,2933.16
Sweden,2016,2862.23
Sweden,2017,2816.66
Sweden,2018,2760.23
Sweden,2019,2704.39
Sweden,2020,2772.74
Sweden,2021,2782.22
Sweden,2022,2764.84
Sweden,2023,2818.53
Sweden,2024,2799.91
Switzerland,2019,3376.27
Switzerland,2020,3382.28
Switzerland,2021,3396.39
Switzerland,2022,3742.1
Switzerland,2023,3769.1
Switzerland,2024,3728.6
Türkiye,2020,23503.79
Türkiye,2021,23200.31
Türkiye,2022,21563.49
Türkiye,2023,21481.57
Türkiye,2024,22487.76
United Kingdom,2015,15457.0
United Kingdom,2016,14938.0
United Kingdom,2017,15443.0
United Kingdom,2018,15488.11
United Kingdom,2019,15731.0
